 station_train_code,departure_destination_station,train_number
C2856,新郑机场-郑州东,8000C285620
C2857,郑州东-新郑机场,8000C285720
C2858,新郑机场-郑州东,8000C285820
C2859,郑州东-新郑机场,8000C285930
C2860,新郑机场-郑州东,8000C286020
C2861,郑州东-新郑机场,8000C286140
C2862,新郑机场-郑州东,8000C286240
C2873,宋城路-新郑机场,8000C287310
C2874,新郑机场-郑州东,8000C287400
C2875,郑州东-新郑机场,8000C287500
C2876,新郑机场-焦作,8000C287601
C2877,焦作-新郑机场,8000C287701
C2878,新郑机场-郑州东,8000C287800
C2879,郑州东-新郑机场,8000C287900
C2880,新郑机场-郑州东,8000C288000
C2881,郑州东-新郑机场,8000C288110
C2882,新郑机场-郑州东,8000C288210
C2883,郑州东-新郑机场,8000C288310
C2884,新郑机场-焦作,8000C288402
C2885,焦作-新郑机场,8000C288510
C2886,新郑机场-郑州东,8000C288610
C2887,郑州东-新郑机场,8000C288710
C2888,新郑机场-郑州东,8000C288810
C2889,郑州东-新郑机场,8000C288910
C2890,新郑机场-郑州东,8000C289010
C2891,郑州东-新郑机场,8000C289110
C2892,新郑机场-郑州东,8000C289210
C2899,郑州东-新郑机场,8000C289900
C2900,新郑机场-焦作,8000C290030
C2901,焦作-南阳寨,8000C290140
C2902,郑州-焦作,8000C290202
C2903,焦作-郑州,8000C290306
C2904,南阳寨-焦作,8000C290420
C2905,焦作-郑州,8000C290506
C2906,郑州-焦作,8000C290605
C2907,焦作-郑州,8000C290705
C2908,郑州-焦作,8000C290805
C2909,焦作-郑州,8000C290906
C2910,郑州-焦作,8000C291002
C2911,焦作-郑州,8000C291105
C2912,郑州-焦作,8000C291201
C2913,焦作-郑州,8000C291303
C2914,郑州-焦作,8000C291404
C2921,焦作-郑州,8000C292160
C2922,郑州-焦作,8000C292205
C2923,焦作-郑州,8000C292306
C2924,郑州-焦作,8000C292460
C2925,焦作-郑州,8000C292507
C2926,郑州-焦作,8000C292605
C2951,焦作-郑州,8000C295104
C2952,郑州-焦作,8000C295202
C2953,焦作-郑州,8000C295302
C2954,郑州-焦作,8000C295402
C2961,焦作-南阳寨,8000C296120
C2962,郑州-焦作,8000C296203
C2963,焦作-郑州,8000C296330
C2964,南阳寨-焦作,8000C296406
C2965,焦作-郑州,8000C296530
C2966,郑州-焦作,8000C296640
C2967,焦作-郑州,8000C296740
C2968,郑州-焦作,8000C296840
C2969,焦作-郑州,8000C296930
C2970,郑州-焦作,8000C297040
C2971,焦作-郑州,8000C297150
C2972,郑州-焦作,8000C297230
C2991,焦作-郑州东,8000C299105
C2992,郑州东-焦作,8000C299304
C2993,郑州东-焦作,8000C299304
C2994,焦作-郑州东,8000C299105
C3001,上海南-金山卫,5000C300132
C3002,金山卫-上海南,5000C300221
C3003,上海南-金山卫,5000C300332
C3004,金山卫-上海南,5000C300432
C3005,上海南-金山卫,5000C300513
C3006,金山卫-上海南,5000C300603
C3007,上海南-金山卫,5000C300713
C3008,金山卫-上海南,5000C300814
C3009,上海南-金山卫,5000C300913
C3010,金山卫-上海南,5000C301014
C3011,上海南-金山卫,5000C301114
C3012,金山卫-上海南,5000C301203
C3013,上海南-金山卫,5000C301313
C3014,金山卫-上海南,5000C301413
C3015,上海南-金山卫,5000C301512
C3016,金山卫-上海南,5000C301603
C3017,上海南-金山卫,5000C301713
C3018,金山卫-上海南,5000C301813
C3021,上海南-金山卫,5000C302113
C3022,金山卫-上海南,5000C302215
C3023,上海南-金山卫,5000C302302
C3024,金山卫-上海南,5000C302403
C3025,上海南-金山卫,5000C302502
C3026,金山卫-上海南,5000C302603
C3027,上海南-金山卫,5000C302702
C3028,金山卫-上海南,5000C302804
C3029,上海南-金山卫,5000C302903
C3030,金山卫-上海南,5000C303003
C3032,金山卫-上海南,5000C303213
C3033,上海南-金山卫,5000C303313
C3034,金山卫-上海南,5000C303401
C3035,上海南-金山卫,5000C303520
C3036,金山卫-上海南,5000C303620
C3201,上海南-金山卫,5000C320101
C3203,上海南-金山卫,5000C320301
C3205,上海南-金山卫,5000C320501
C3601,上海南-金山卫,5000C360101
C3602,金山卫-上海南,5000C360201
C3603,上海南-金山卫,5000C360303
C3604,金山卫-上海南,5000C360403
C3605,上海南-金山卫,5000C360503
C3606,金山卫-上海南,5000C360602
C3607,上海南-金山卫,5000C360702
C3608,金山卫-上海南,5000C360802
C3609,上海南-金山卫,5000C360902
C3610,金山卫-上海南,5000C361003
C3611,上海南-金山卫,5000C361101
C3612,金山卫-上海南,5000C361203
C3613,上海南-金山卫,5000C361301
C3614,金山卫-上海南,5000C361403
C3615,上海南-金山卫,5000C361502
C3616,金山卫-上海南,5000C361603
C3617,上海南-金山卫,5000C361701
C3618,金山卫-上海南,5000C361802
C3619,上海南-金山卫,5000C361901
C3620,金山卫-上海南,5000C362003
C3621,上海南-金山卫,5000C362102
C3622,金山卫-上海南,5000C362202
C3623,上海南-金山卫,5000C362301
C3624,金山卫-上海南,5000C362402
C3625,上海南-金山卫,5000C362501
C3626,金山卫-上海南,5000C362603
C3627,上海南-金山卫,5000C362701
C3628,金山卫-上海南,5000C362802
C3629,上海南-金山卫,5000C362902
C3630,金山卫-上海南,5000C363002
C3631,上海南-金山卫,5000C363102
C3632,金山卫-上海南,5000C363202
C3633,上海南-金山卫,5000C363302
C3634,金山卫-上海南,5000C363402
C3635,上海南-金山卫,5000C363503
C3636,金山卫-上海南,5000C363603
C3640,金山卫-上海南,5000C364032
C3642,车墩-上海南,5000C364241
C3644,金山卫-上海南,5000C364401
C5001,武昌-咸宁南,9000C500109
C5002,咸宁南-武昌,9000C50020A
C5003,武昌-咸宁南,9000C500308
C5004,咸宁南-武昌,9000C50040A
C5005,武昌-咸宁南,9000C50050B
C5006,咸宁南-武昌,9000C50060C
C5007,武昌-咸宁南,9000C50070A
C5008,咸宁南-武昌,9000C500808
C5009,武昌-咸宁南,9000C500906
C5010,咸宁南-汉口,9000C501005
C5020,咸宁南-武昌,9000C502005
C5021,武昌-咸宁南,9000C502104
C5022,咸宁南-武昌,9000C502203
C5023,武昌-咸宁南,9000C502303
C5024,咸宁南-武昌,9000C502402
C5025,武昌-咸宁南,9000C502502
C5026,咸宁南-武昌,9000C502603
C5027,武昌-咸宁南,9000C502703
C5028,咸宁南-汉口,9000C502803
C5301,汉口-孝感东,9000C530107
C5302,孝感东-汉口,9000C530204
C5303,汉口-孝感东,9000C530302
C5304,孝感东-汉口,9000C530405
C5305,汉口-孝感东,9000C530505
C5306,孝感东-汉口,9000C530603
C5307,汉口-孝感东,9000C530704
C5308,孝感东-汉口,9000C530805
C5309,汉口-孝感东,9000C530905
C5310,孝感东-汉口,9000C531006
C5311,汉口-孝感东,9000C531105
C5312,孝感东-汉口,9000C531205
C5313,汉口-孝感东,9000C531302
C5314,孝感东-汉口,9000C531402
C5315,汉口-孝感东,9000C531500
C5316,孝感东-汉口,9000C531600
C5317,汉口-孝感东,9000C531700
C5318,孝感东-汉口,9000C531800
C5341,汉口-孝感东,9000C534100
C5342,孝感东-汉口,9000C534206
C5521,武汉-大冶北,e000C552108
C5522,大冶北-武汉,9000C552208
C5601,武汉-黄冈东,e000C560108
C5602,黄冈东-武汉,9000C560206
C5603,武汉-黄冈东,e000C560309
C5604,黄冈东-武汉,9000C56040A
C5605,武汉-黄冈东,e000C56050B
C5606,黄冈东-武汉,9000C56060B
C5607,武汉-黄冈东,e000C56070I
C5608,黄冈东-武汉,9000C56080J
C5609,武汉-黄冈东,e000C560907
C5610,黄冈东-武汉,9000C56100B
C5611,武汉-黄冈东,e000C56110B
C5612,黄冈东-武汉,9000C56120F
C5613,武汉-黄冈东,e000C561309
C5614,黄冈东-武汉,9000C56140A
C5615,武汉-黄冈东,e000C56150F
C5616,黄冈东-武汉,9000C56160F
C5617,武汉-黄冈东,e000C56170C
C5618,黄冈东-武汉,9000C561809
C5619,武汉-黄冈东,e000C56190A
C5620,黄冈东-武汉,9000C56200A
C5631,武汉-黄冈东,e000C563102
C5632,黄冈东-武汉,9000C563202
C5633,武汉-黄冈东,e000C563304
C5634,黄冈东-武汉,9000C563402
C5635,武汉-黄冈东,e000C563504
C6001,成都东-重庆西,6000C600102
C6002,重庆西-成都东,7000C600204
C6003,成都东-重庆北,6000C600301
C6004,重庆北-成都东,7000C600402
C6051,成都-彭州,6000C605100
C6052,彭州-犀浦,6000C605201
C6053,犀浦-彭州,6000C605301
C6054,彭州-犀浦,6000C605401
C6055,犀浦-彭州,6000C605501
C6056,彭州-犀浦,6000C605610
C6057,安靖-彭州,6000C605701
C6058,彭州-安靖,6000C605802
C6059,犀浦-彭州,6000C605901
C6060,彭州-犀浦,6000C606010
C6061,犀浦-彭州,6000C606110
C6062,彭州-犀浦,6000C606210
C6063,犀浦-彭州,6000C606301
C6064,彭州-犀浦,6000C606410
C6065,安靖-彭州,6000C606501
C6066,彭州-安靖,6000C606601
C6067,犀浦-彭州,6000C606701
C6068,彭州-犀浦,6000C606801
C6069,犀浦-彭州,6000C606910
C6070,彭州-犀浦,6000C607000
C6071,犀浦-彭州,6000C607110
C6072,彭州-犀浦,6000C607210
C6081,成都-离堆公园,6000C608100
C6082,离堆公园-犀浦,6000C608210
